date,obs_ts_utc,sol_in_trust,market_value_usd,sol_per_share,nav_usd,market_price_usd,premium_discount_pct,aum_usd,shares_outstanding,sponsor_fee_pct,net_staking_reward_rate_pct
2025-11-06,2025-11-06T09:08:04+00:00,2670590.27,435194850.57,0.130783,21.31,20.07,-5.82,435194851.0,20420000.0,0.0,7.25
2025-11-08,2025-11-08T18:41:24+00:00,2931392.0,478240000.00000006,0.130866,21.35,20.33,-4.78,,22400000.0,0.0,7.22
2025-11-17,2025-11-17T04:40:40+00:00,3160303.72,446702400.0,0.131024,18.52,18.68,0.86,,24120000.0,0.0,7.12
2026-01-02,2026-01-02T14:45:02+00:00,5174316.62,640593000.0,0.132065,16.35,16.4,0.31,,39180000.0,0.0,6.76
2026-01-17,2026-01-17T03:44:51+00:00,5581240.53,804261700.0,0.132477,19.09,18.71,-1.99,,42130000.0,0.0,6.74
2026-03-06,2026-03-08T14:35:10.739939+00:00,6627832.95,563238546.81,0.133572,11.35,11.9,-0.03,563210872.0,49620000.0,0.2,6.78
2026-03-07,2026-03-09T04:59:52.742563+00:00,6627832.95,563238546.81,0.133572,11.35,11.9,-0.03,563210872.0,49620000.0,0.2,6.78
2026-03-08,2026-03-10T04:48:45.820290+00:00,6629475.85,569683456.61,0.133605,11.48,11.34,-0.05,569652626.0,49620000.0,0.2,6.78
2026-03-09,2026-03-11T09:44:45.041852+00:00,6630608.78,570640801.31,0.133628,11.5,11.49,0.11,570606839.0,49620000.0,0.2,6.77
2026-03-10,2026-03-12T19:02:17.138985+00:00,6667818.74,582501312.47,0.13365,11.67,11.67,-0.03,582464111.0,49890000.0,0.2,6.77
2026-03-11,2026-03-13T18:52:23.935811+00:00,6714381.25,579970795.8,0.133673,11.54,11.61,0.57,579924096.0,50230000.0,0.2,6.77
2026-03-12,2026-03-15T18:40:56.423304+00:00,6802675.31,604089132.37,0.133727,11.87,11.61,0.57,604038855.0,50870000.0,0.2,6.77
2026-03-14,2026-03-16T19:03:28.070310+00:00,6802675.31,604089132.37,0.133727,11.87,11.88,0.09,604038855.0,50870000.0,0.2,6.77
2026-03-15,2026-03-17T19:04:04.373051+00:00,6837806.99,649549270.33,0.13376,12.7,12.75,0.38,649495203.0,51120000.0,0.2,6.77
2026-03-16,2026-03-18T19:01:16.797290+00:00,7026170.95,668317437.06,0.133781,12.72,12.67,-0.41,668259703.0,52520000.0,0.2,6.77
2026-03-17,2026-03-19T19:00:20.687292+00:00,7027281.22,630871361.1,0.133802,12.01,12.01,0.01,630810376.0,52520000.0,0.2,6.77
2026-03-18,2026-03-20T18:52:26.828379+00:00,7028402.99,624505937.08,0.133823,11.89,11.87,-0.15,624434722.0,52520000.0,0.2,6.77
2026-03-19,2026-03-21T18:38:14.802366+00:00,7031229.99,623116742.91,0.133877,11.86,11.87,-0.15,623042140.0,52520000.0,0.2,6.76
2026-03-20,2026-03-22T18:39:03.390720+00:00,7031229.99,623116742.91,0.133877,11.86,11.87,-0.15,623042140.0,52520000.0,0.2,6.76
2026-03-21,2026-03-23T18:57:01.833138+00:00,7031229.99,623116742.91,0.133877,11.86,11.91,0.44,623042140.0,52520000.0,0.2,6.76
2026-03-22,2026-03-24T19:04:50.345017+00:00,7032986.92,643829864.61,0.133911,12.25,12.24,-0.12,643751622.0,52520000.0,0.2,6.76
2026-03-23,2026-03-25T18:57:04.679708+00:00,7067629.67,627879739.6,0.133933,11.89,11.86,-0.29,627798160.0,52770000.0,0.2,6.76
2026-03-24,2026-03-26T19:07:43.008825+00:00,7068788.71,648458160.19,0.133955,12.28,12.28,-0.04,648372916.0,52770000.0,0.2,6.35
2026-03-25,2026-03-27T18:57:44.414109+00:00,7069953.53,606341838.73,0.133977,11.49,11.45,-0.32,606246858.0,52770000.0,0.2,6.35
2026-03-26,2026-03-28T18:42:00.880927+00:00,6977673.37,574960983.88,0.134031,11.04,11.45,-0.32,574863289.0,52060000.0,0.2,6.36
2026-03-27,2026-03-29T18:43:44.887157+00:00,6977673.37,574960983.88,0.134031,11.04,11.45,-0.32,574863289.0,52060000.0,0.2,6.36
2026-03-28,2026-03-30T19:01:38.365733+00:00,6977673.37,574960983.88,0.134031,11.04,11.07,0.29,574863289.0,52060000.0,0.2,6.35
2026-03-29,2026-03-31T19:03:30.988104+00:00,6904500.44,568068464.53,0.134068,11.03,11.03,0.04,567967616.0,51500000.0,0.2,6.35
2026-03-30,2026-04-01T10:06:47.667551+00:00,6904420.53,570686950.57,0.134066,11.08,11.03,0.04,570683824.0,51500000.0,0.2,6.35
