date,nav_usd,shares_outstanding,eth_per_share,backfill_quality,eth_in_trust,net_assets_usd,closing_price_usd,premium_discount_pct,basket_usd,basket_eth,management_fee_pct,obs_ts_utc
2026-02-18,24.990609,4000000.0,0.0128631143072846,50.0,51452.45722913843,99962436.0,24.990609,0.0,,,0.12,backfill
2026-02-19,24.978089,4000000.0,0.0128630720177327,49.0,51452.28807093108,99912356.0,24.978089,0.0,,,0.12,backfill
2026-02-20,25.299513,4000000.0,0.0128630297283199,48.0,51452.11891327986,101198052.0,25.299513,0.0,,,0.12,backfill
2026-02-23,23.852846,4000000.0,0.0128629028609157,45.0,51451.611443662994,95411384.0,23.852846,0.0,,,0.12,backfill
2026-02-24,23.879439,4000000.0,0.012862860572059,44.0,51451.44228823629,95517756.0,23.879439,0.0,,,0.12,backfill
2026-02-25,26.623379,4000000.0,0.0128628182833414,43.0,51451.27313336573,106493516.0,26.623379,0.0,,,0.12,backfill
2026-02-26,26.119836,4000000.0,0.0128627759947628,42.0,51451.10397905127,104479344.0,26.119836,0.0,,,0.12,backfill
2026-02-27,24.740402,4000000.0,0.0128627337063232,41.0,51450.93482529295,98961608.0,24.740402,0.0,,,0.12,backfill
2026-03-02,26.250231,4000000.0,0.0128626068418386,38.0,51450.427367354685,105000924.0,26.250231,0.0,,,0.12,backfill
2026-03-03,25.50035,4000000.0,0.0128625645539552,37.0,51450.25821582082,102001400.0,25.50035,0.0,,,0.12,backfill
2026-03-04,27.909177,4000000.0,0.0128625222662107,36.0,51450.08906484309,111636708.0,27.909177,0.0,,,0.12,backfill
2026-03-05,26.836274,4000000.0,0.0128624799786053,35.0,51449.91991442145,107345096.0,26.836274,0.0,,,0.12,backfill
2026-03-06,25.44783,4000000.0,0.0128624376911389,34.0,51449.75076455592,101791320.0,25.44783,0.0,,,0.12,backfill
2026-03-09,26.08548,4000000.0,0.0128623108295739,31.0,51449.243318296,104341920.0,26.08548,0.0,,,0.12,backfill
2026-03-10,26.187826,4000000.0,0.0128622685426637,30.0,51449.07417065489,104751304.0,26.187826,0.0,,,0.12,backfill
2026-03-11,26.681487,4000000.0,0.0128622262558924,29.0,51448.90502356988,106725948.0,26.681487,0.0,,,0.12,backfill
2026-03-12,26.51327,4000000.0,0.0128621839692602,28.0,51448.73587704098,106053080.0,26.51327,0.0,,,0.12,backfill
